V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,label
6.1392817,0.23817208,-0.426773,0.50056535,3.453448,-2.3167338,-0.21639815,-0.55491614,-0.24464846,-1.3916192,0.1921735,1.4687067,-1.1063588,0.9835735,0.102123305,-0.51472867,-1.6170026,-0.06415103,0
5.391601,0.9702732,-0.5272182,2.5362968,2.7426522,-1.9703102,0.44863597,-1.2474604,-0.38825175,-0.8810132,-1.0366584,1.1451609,-0.92173177,1.156718,0.6970435,-0.80903053,-1.1712035,-0.18311131,0
4.6774077,-0.7606272,2.7824516,1.9185585,1.9474705,-0.35924327,2.3417125,-2.5501652,0.45426822,-0.16896284,-0.42279816,0.5255918,-0.8603139,0.34615204,0.16812487,-1.3089087,-0.7905021,-0.11558161,0
6.614982,1.274748,1.1424791,1.8923967,3.2679408,-0.77287626,-0.94377875,-1.2880913,-1.5158645,-0.75935084,-0.20846574,-0.22089721,0.116101116,1.1496706,0.5727169,-1.1664728,-1.0183238,0.124901086,0
7.540668,0.04813095,-2.413613,0.81635225,3.3895786,-1.5269015,-1.6960585,-0.2773352,-0.38337192,-2.0611887,-0.11052686,-0.068665296,0.31727985,1.0802361,-0.1217216,-0.35786536,-1.1452667,0.07478116,0
0.94507307,0.7109568,2.62773,0.6621297,1.7003374,0.66043305,1.0477519,-3.3131735,-1.095539,0.43092534,-1.7513852,0.888302,-1.0537003,0.20983133,0.33523804,-0.8693062,-1.4549667,-0.68463326,0
7.207672,-0.772222,4.3224277,3.6342647,5.0943294,-2.6722379,0.27436405,-1.8424454,0.45100054,-0.88442296,-0.5958842,-0.47820428,-0.9502861,-0.43262807,-0.2597331,-0.40709215,-0.96217984,0.2101505,0
4.3318534,-5.891634,-0.73099965,-1.7405438,3.56139,-1.636742,-2.0577676,-2.212054,1.5395668,1.2149041,-0.68356663,0.23646924,-0.1830666,0.51875216,1.210354,0.3373111,0.3574187,0.7021727,0
3.392408,-5.004139,-0.45312867,0.19438298,2.1511436,-1.8257165,-1.4497259,-2.8671482,0.48910522,0.35621178,0.5504871,0.9853811,-1.767797,0.5371036,-0.27862322,-0.57828164,-0.03812326,-0.06593494,0
7.2584233,-1.3856418,6.2970533,3.034065,4.8163157,-1.4624901,4.1515713,-1.4330028,0.5788455,-1.911311,-0.8622437,-0.49646616,-2.6272757,-0.2970754,1.0813799,0.124395885,-0.11315144,0.09873905,0
