V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,label
5.9626083,-0.111771785,-0.19374794,0.55967885,-3.7424538,-2.0397735,-0.016766442,-0.6143996,0.7061467,1.031266,-0.07341196,1.3668523,-1.5173206,0.785673,-0.15701427,0.47676894,-1.0399693,-0.019374698,0
5.279883,-0.792624,-0.3804836,2.5024145,-2.9007008,-1.4360528,0.528208,-1.3244064,0.7931765,0.7653701,-1.5440079,0.9559448,-1.3967626,0.9390456,0.3201628,0.81663764,-0.7713087,0.00494252,0
4.7858953,0.94054914,2.56917,1.8262398,-1.8882067,0.42496803,2.255725,-2.4295106,-0.19686328,0.40124062,-0.70479196,0.29981768,-1.0271639,0.23666096,-0.021473395,1.056893,0.0085135065,0.8757247,0
6.6081066,-1.0936307,1.0942924,1.9013628,-3.2360032,-0.212858,-0.72821003,-1.2450093,1.6304281,0.65694416,-0.7013189,-0.26990506,0.1447632,1.0178392,0.087930016,1.2499466,-0.61884195,0.22327939,0
7.454665,0.11746656,-2.2887168,0.6972691,-3.7072067,-1.4959667,-1.4255263,-0.3546051,0.6138125,1.9932579,-0.11068546,0.22638513,0.073874846,1.1659913,-0.21552622,0.22772503,-0.7603236,-0.12785926,0
1.0982192,-0.48383036,2.6052103,0.4005619,-1.398524,1.2040282,0.76051813,-3.2610862,1.0576214,-0.35761306,-2.2805812,0.33872667,-1.2549127,0.05370174,0.07855419,0.60673976,-0.6668565,1.5341443,0
7.284526,1.3374531,4.2052083,3.9355533,-5.4882627,-2.0089643,0.6765012,-2.042855,-0.21345183,1.0252522,-0.49135524,-0.88765943,-0.6570535,-0.3499038,-0.41244945,0.37143704,-0.13619529,0.23653816,0
3.81865,5.8881044,-0.40936843,-2.160733,-3.5162423,-1.7577775,-1.4472119,-2.4016786,-1.769315,-1.2088674,-0.67000777,0.25221756,-0.46761343,0.7158767,1.2893399,-0.4028652,0.6088377,-0.15710697,0
3.089653,5.0243626,-0.33332452,-0.0059525883,-2.2509143,-2.0095797,-1.2061057,-2.642955,-0.28429267,-0.5793664,0.5586766,0.5064628,-2.1263165,0.50256515,-0.22976467,0.5879876,0.13103555,-0.19772263,0
7.7298965,1.8510234,5.857584,3.6972475,-4.700156,-0.36639923,4.3818765,-1.5161492,0.47634482,1.9457309,-0.70506436,-0.89963466,-2.6158412,-0.5945981,0.9920014,0.022135384,0.6740422,0.14127316,0
4.6687365,2.3867922,1.4199356,1.5559587,-3.3324797,-2.5152519,2.3570633,-1.8435235,-1.0741249,-0.12010186,-0.021679511,-0.116462864,-2.8712575,0.56753886,0.8477189,0.29543963,0.52593344,0.070197,0
6.920169,-0.23279557,4.137624,4.2085648,-4.134011,-1.3991153,-0.86246145,-2.403818,0.34915367,0.49502462,-0.46126658,-1.2911162,-0.03804525,-0.02726012,-0.5960779,0.23496644,-0.40883136,0.59839314,0
5.7160206,1.8732548,3.3794398,2.6309419,-3.646157,-1.1970457,1.1543734,-2.7932947,0.49084368,0.5320985,-0.31571326,-1.0489566,-0.05076796,0.123481825,0.3603305,0.4454043,-0.12253743,0.09016998,0
2.0035088,5.1039047,-3.2958467,1.7232304,-4.080291,-1.9392306,-1.2363716,-2.9686437,-3.5623362,-1.5930122,-0.119134195,-1.2609183,-1.8926016,0.12875427,1.2694389,1.1486168,0.08258304,0.6701676,0
2.184881,5.067075,-0.7430186,1.5785401,-2.2148986,-1.9773567,-1.5491438,-3.8246129,-1.2125548,-2.0461795,0.5772314,0.28190356,-1.3461049,0.53501445,-0.34572276,0.66122764,-0.22248071,-0.09871841,0
1.5453757,0.44015402,-2.0147645,-1.5238761,0.6498734,-1.3784811,-0.94119513,-1.4855497,-0.111890994,0.25828564,-1.1667459,-0.75605327,0.8435578,-0.65345144,0.022564247,0.3665288,-0.6540832,0.21727522,0
-1.2019044,2.3626196,0.8106321,-4.8382683,-0.6282549,1.0495232,2.117812,1.1843209,-0.47109324,0.89458716,-1.2181866,1.0298183,0.16376826,0.80300033,1.3506334,-0.68861467,0.8668981,-0.18956687,0
-0.17374013,-4.0664334,-1.0352186,-1.6155949,1.3070972,2.5126982,-2.5989969,-2.1820853,-0.827605,0.22137818,-1.1630023,-0.36765555,0.58609205,-0.724958,-0.15013632,0.1356588,0.9590412,0.027941538,0
5.6749215,-4.0918264,-0.5571057,3.8192353,1.7139678,1.0080334,0.6603771,-2.600933,1.7321793,0.09031169,-2.6185853,0.246097,0.49122614,1.1283704,-0.9103544,-0.13917008,-1.04156,-0.07455045,0
0.4438186,-3.4612172,1.4328561,-2.0793138,4.224971,2.3912191,-1.4319206,-0.8531223,-1.1003512,1.3290434,0.846388,-0.60614127,-0.54693395,-0.97651345,0.0985304,0.19556,0.15957299,0.675154,0
2.8677785,2.6523566,-1.4801862,-2.1725574,0.023656504,-0.23763707,-1.2738603,-2.1951694,0.9529968,0.50715345,-0.23902252,-0.35691103,0.4869341,-0.7888485,-0.3965398,-0.21125948,-0.020567361,0.48918813,0
1.3801113,-2.1674633,2.5070477,-2.5278747,2.3278282,2.2329202,-0.75972223,-0.6329339,0.5046295,0.8645659,-1.6771157,0.0097370595,0.5134102,-0.10741344,-0.0045497143,-0.6431811,0.7900297,0.0019808442,0
2.7532117,-1.5619887,-0.6699795,-4.158312,2.6569898,-1.6830885,-3.209638,0.3867063,0.7412662,0.11992614,0.21950457,2.1321616,0.54480773,-0.027283702,0.15302226,-0.48570624,-0.3216213,0.30702588,0
0.46670067,-2.834061,2.2000089,-0.9809568,-2.1909878,1.0313259,-3.3903434,-0.9439601,-0.09471771,1.1213568,-0.6670868,-0.6647188,-0.20541091,-0.75908995,0.007166997,0.6582741,-0.44260803,0.2725443,0
