V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,label
-3.4313323,0.7053381,1.8164637,-1.3508152,2.6266363,-1.0303934,-1.2486327,1.4842533,-1.1277555,-0.047942653,0.95456344,-0.7875338,-0.5599137,-0.7573464,0.29188102,0.16415088,0.8451858,0.17856734,-0.3871788,0
-3.465588,2.2238986,3.6198525,-0.7479158,3.0355613,-1.3659338,-1.1100862,1.3856885,-1.5004921,-0.3877733,0.8257554,-0.4626346,-0.09536007,-0.74857277,0.29195967,-0.049296707,0.6963449,-0.031374246,-0.39840725,0
-3.7515507,2.7376316,0.78360665,-0.8942957,4.3461795,-0.8143665,-0.64311683,1.9589969,-0.32286018,0.81788355,0.4638376,0.26413968,-0.2861745,-0.47922465,-0.031344555,0.34351456,0.5840269,0.6349934,-0.69903046,0
-3.2962008,2.6955671,2.5934184,-0.9566463,1.7679945,0.04681751,-0.904481,1.1535288,0.44361275,-0.7627179,0.2452199,0.77206814,-0.51737875,-0.62493503,0.15811469,-0.24779047,0.9393733,-0.33702424,-0.314176,0
-5.1586018,-0.22594944,4.1173677,-1.5093665,2.2738137,0.1172189,-0.39538464,1.3878394,-0.59231377,0.6399859,0.12882136,0.23562887,0.2184733,0.62152976,-0.42289254,-0.33098364,0.20841114,0.12063142,-0.14874315,0
0.3683729,3.7705352,0.91926223,-1.0148207,3.3935757,1.0918536,-1.2006502,3.3739927,-0.48550782,0.20426004,1.3703735,1.8070114,-0.6057422,0.039241835,-0.3513193,-0.5626575,1.494499,0.4411579,-0.7921212,0
-4.957455,2.3501132,3.4575229,-0.80490535,5.3771152,-1.2949028,-0.58478737,2.3527923,-0.833405,0.60503864,1.842472,0.51507545,0.12751386,0.6767155,-0.037608106,-0.03113596,0.15056796,0.24248101,-0.44288263,0
-2.3083642,-5.514303,2.2307415,-2.9204035,0.8854011,-0.6126026,1.5986739,3.6404378,0.33387658,0.54904884,-0.09483006,0.05593793,-0.5961946,0.20200786,0.12562522,0.3152852,0.067857794,-0.12448958,-0.0343505,0
-3.3733683,-4.9344854,3.9101713,-0.30727634,-0.43541464,0.9805307,1.0031275,3.3475688,-0.015991924,-0.11552188,0.6248155,-0.38285542,-0.23309872,0.18264252,-0.43833154,-0.22320074,0.14995228,0.070950374,-0.36810893,0
-5.294859,2.7844133,1.4082583,0.64836806,7.058397,-2.2010398,0.9323078,0.6850327,-1.193269,0.15948932,0.14217679,-0.1760429,-0.3710209,-0.49052784,-0.33380798,-0.7084596,0.98554796,-0.69087,-0.100203946,0
-3.2146845,0.016975578,2.9981751,-0.43959102,3.3533142,-2.1890612,-1.5846157,3.0680056,0.24768734,0.038128655,1.1212369,-0.6983018,-0.2787711,-0.18611072,-0.20512904,-0.18123008,0.4543087,0.060076457,-0.8329623,0
-4.770376,3.8565986,3.9944186,0.1909918,3.5267315,0.2453644,-0.47576174,2.1632504,-0.76999056,0.6034184,1.2188288,1.7322505,0.24087213,0.8931823,-0.4055275,-0.3911563,-0.01932427,0.24311495,-0.11418943,0
-3.7291262,1.1948364,2.272344,-0.9568417,4.6072335,0.40958804,-0.5513303,1.107339,-0.23894556,0.53688586,0.8631826,0.2345812,0.12734877,0.45076248,-0.36229467,-0.34067926,0.02886598,-0.03292591,-0.081700735,0
-2.199313,-6.7986183,6.666079,-3.8085876,-0.1733458,-0.8129398,1.4948102,2.6350863,0.7617993,0.66264987,0.5895823,-0.48397547,0.030935321,0.06492624,-0.18457977,-0.03815114,0.14187963,-0.012005568,0.16295822,0
-1.9255569,-5.8820024,6.1853247,-1.1781995,0.11979592,0.3016478,1.9204849,2.375299,0.3247009,0.70686084,0.5337928,-0.2647647,-0.0052551585,-0.11194179,-0.028930565,-0.24888588,0.08460761,0.1066113,-0.08443284,0
-3.1942673,-1.6046171,3.561905,-1.6581417,-0.2524205,1.7595952,-2.2796419,1.6378897,-0.3414722,-0.42895928,-0.009778117,0.7174852,0.4005742,0.34384727,-0.16319038,-0.009076538,0.2278212,-0.17827465,0.13416804,0
