V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,label
-3.4291127,0.6229001,2.0573645,-1.265003,2.2624197,-0.8020457,-1.1774671,-1.836316,1.0215154,-0.12902474,1.1854036,0.7592274,-0.3664262,0.9579322,0.39400107,0.24374415,0.8429505,0.009958939,-0.45180273,非欺诈信息
-3.3580892,2.3785892,3.8081236,-0.59313923,2.6351867,-1.0010234,-1.0778002,-1.8288641,1.5414337,-0.4042933,0.9632999,0.44980696,-0.01753388,0.8845467,0.32575232,-0.011964899,0.7494318,0.16345409,-0.16716245,非欺诈信息
-3.6760468,2.8865738,1.0570289,-0.8832296,4.062981,-0.78009194,-0.318269,-2.1806414,0.17344658,0.77730113,0.6960128,-0.20942603,-0.23665963,0.63980824,-0.036156006,0.31657976,0.5115504,-0.4798809,-0.84296846,非欺诈信息
-3.1152203,2.6724107,2.65814,-0.95106906,1.7385396,0.4329704,-0.8047495,-1.2989483,-0.17486815,-0.69244546,0.4319452,-0.8583448,-0.3746512,0.8203068,0.13262825,-0.14038779,0.62766284,0.420364,-0.23722658,非欺诈信息
-5.149266,0.14287663,4.4494166,-1.4123272,2.1199172,0.14385708,-0.0978642,-1.4256272,0.41858476,0.85269046,0.23093472,-0.20184429,0.13000906,-0.51431215,-0.44253573,-0.3731156,0.31321576,-0.04470453,0.0060487273,非欺诈信息
0.5719142,3.8449657,1.0932838,-1.3041751,3.2332032,1.5433034,-0.647097,-3.4970467,0.40888423,0.7254211,1.6844978,-1.7976629,-0.76970035,0.1962531,-0.30715516,-0.4922785,1.5293721,-0.09352571,-0.90451014,非欺诈信息
-4.821267,2.6736248,3.8867855,-0.4785701,4.7946286,-1.3459553,-0.1717014,-2.5105848,0.6124749,0.7337671,1.9558722,-0.48571154,-0.019655688,-0.6247587,0.013178217,-0.065409996,0.20481847,-0.23843381,-0.5314736,非欺诈信息
-2.553382,-5.309894,2.7583172,-2.9082632,0.5434895,-0.5650995,2.2524726,-3.4295201,-0.61951864,0.52040213,0.066921294,-0.08114581,-0.56702435,-0.04358755,0.03762641,0.35289666,0.030231388,0.12862945,0.015084839,非欺诈信息
-3.6733866,-4.5141764,3.9363863,-0.5474871,-0.7449754,1.3876688,1.7321383,-3.1757934,-0.26202473,-0.09865192,0.7654616,0.35980418,-0.24055867,-0.138141,-0.43801644,-0.19283855,0.30912563,0.019695286,-0.08498276,非欺诈信息
-5.078871,2.984522,1.7615718,0.79214627,6.553381,-2.606637,1.1770666,-0.8152679,1.2669398,0.13201466,0.4203099,-0.032112695,-0.34178945,0.754871,-0.15562788,-0.5812887,0.9489397,0.8101769,0.44364896,非欺诈信息
-3.2933319,0.21645077,3.1712847,-0.32943603,2.8941472,-1.8643969,-1.1630495,-3.43648,-0.4738168,-0.0690945,1.3188803,0.48222032,-0.050026517,0.35387528,-0.1961156,-0.19916098,0.4878195,0.03877599,-0.52811426,非欺诈信息
